1  1:-0.11697117882971737  2:0.034024606340067896  3:0.031961972879684386  4:-0.0903779766319151  5:-0.00606978968944578  6:0.5189998427281223  7:-0.062028807452422834  8:0.10716292504930967  9:-0.013566986306001701  10:-0.1564582386007658
1  1:-0.1908852869822486  2:0.22344648536702386  3:0.14272383267587116  4:0.05034284598478443  5:0.12332616324399581  6:0.07932578293366552  7:-0.017644537342075793  8:0.15478787672583824  9:0.09896762214708368  10:-0.11147289401322658
1  1:-0.013318730475102944  2:0.015450371359525188  3:-0.0071551692965154436  4:0.044517144134498  5:-0.08700229926132191  6:-0.032624656493304253  7:0.013846291859907255  8:-0.007955078895463517  9:0.18269025224006757  10:-0.030719582666202574
1  1:0.05528918471227376  2:0.027858343372958755  3:-0.0013647968441814569  4:-0.03575526302244764  5:-0.005542136713462501  6:-0.09592777506142082  7:0.10376765122518969  8:0.03173759193513039  9:0.006755045740584197  10:0.05585390180608733
1  1:-0.04108032193155472  2:-0.2504786952218491  3:0.22520088225947843  4:-0.13221574095989483  5:-0.3708830893761844  6:0.21178080632547847  7:-0.37793029317483157  8:-0.1361630670063555  9:0.05836078160984314  10:0.02717650367405348
1  1:-0.009620380116959084  2:0.016675534534534523  3:0.05620055555555555  4:0.044904882539682535  5:-0.06657821241830064  6:0.09832639473684218  7:-0.11725867567567565  8:-0.07578233333333333  9:0.06983828571428571  10:0.05515261764705883
1  1:0.25671019088895797  2:-0.2629872884304423  3:0.05459875262984879  4:0.2618480231426693  5:0.35806493400239786  6:0.24806049999999996  7:-0.21454964864864873  8:0.033498916666666684  9:-0.21716397142857136  10:-0.4048754705882353
1  1:0.002568888508252817  2:0.16157130529345914  3:0.07170689480604865  4:0.0776404762468301  5:0.21708276836059867  6:0.03518549453268279  7:-0.08680285461200846  8:0.06801677328511944  9:0.1500724326664788  10:-0.06274066403681788
1  1:0.5250156638984048  2:0.46314102965687576  3:0.14013666644751263  4:0.06202649860054473  5:-0.028316993599412168  6:0.3291089409149106  7:-0.10868192801677418  8:-0.12904127542187152  9:0.0943326496290035  10:-0.15266611600340335
1  1:0.06363647150420428  2:-0.08205811466496085  3:-0.11429552186061796  4:0.01016476196111581  5:0.007706365645666548  6:-0.07944474244783559  7:-0.14118796161842312  8:-0.14056781903353058  9:-0.0474646023668639  10:0.037957357814131565
1  1:0.18496969012768608  2:0.10217854645770023  3:-0.30812209664694273  4:0.04873305207100593  5:-0.06061016829098504  6:0.25478769701373755  7:0.07891506857153006  8:0.1732660006574622  9:-0.03260064256598109  10:-0.1386917746064896
1  1:0.05747866581888646  2:-0.016237211720596327  3:-0.07585030824019286  4:0.06662367836949377  5:-0.13745110654755005  6:0.03220257474307065  7:-0.02700263649448264  8:-0.07759231032215647  9:0.2360844740490279  10:-0.10172776331360947
1  1:-0.003112758953597014  2:-0.05956666496081882  3:-0.08167466403681789  4:-0.3597646982248521  5:-0.4323914855551689  6:0.07987494517111321  7:0.02723963789825331  8:-0.034033057527942195  9:-0.04124752602611067  10:-0.16936565405886223
1  1:-0.3073722566178761  2:0.32577759139612994  3:-0.007677774161735703  4:-0.49952223093829246  5:0.1588285207100593  6:-0.13769085175957646  7:-0.601913192387654  8:0.41307037754766596  9:0.1427912657650042  10:-0.35468078924469193
1  1:0.10945300870272326  2:-0.009748340405494254  3:0.11901645490905108  4:-0.14977279077674466  5:-0.13093267157829602  6:-0.16314969113118105  7:-0.30338353188691647  8:0.3628054524435679  9:-0.19284809525687988  10:-0.17645130639672038
1  1:0.24183451446416832  2:-0.07804263279847894  3:-0.10797206032215646  4:-0.05508269103033721  5:-0.0123087592914878  6:0.1453429985985674  7:-0.37568113177674717  8:-0.03470486554898094  9:0.11709501149619612  10:-0.08354867977723632
1  1:0.685086935880134  2:0.5941474046768663  3:0.5418053282927898  4:0.2801816812435428  5:0.1788501967358936  6:0.39736639196858003  7:0.24094521191605808  8:-0.005813450361604171  9:0.22005893083497702  10:0.23260337442472054
1  1:0.23666721114917466  2:0.08837643163281633  3:-0.13634732922419462  4:-0.3576298258664413  5:0.438906141489732  6:0.041018887037613826  7:-0.05676365337526876  8:0.1823017249068595  9:-0.45523139753921293  10:-0.350750892195537
1  1:-0.04593480065054154  2:0.037872916751070636  3:-0.16608049693184312  4:0.0023822650136188657  5:-0.05704276155393122  6:0.19798530886881896  7:-0.22308880285018748  8:-0.028978737727372375  9:-0.09033543738142205  10:-0.025334368236841088
1  1:0.08685025265580122  2:0.043673903584057414  3:-0.3171795752794214  4:0.18346249724805105  5:-0.011632199713810602  6:0.15578001129796876  7:-0.05756738358476819  8:-0.3025683687815034  9:-0.2128303882971729  10:-0.092585191012105
1  1:0.3539814498598567  2:-0.07694940444586594  3:-0.2994316801446416  4:-0.23370058918005077  5:0.05620260668290988  6:0.44664269540468543  7:-0.06830430826092364  8:-0.24935333064869603  9:-0.22288314625716163  10:-0.07721224362841773
1  1:0.738894732776221  2:0.3899192355846976  3:0.31691625635546805  4:-0.005993846228984687  5:0.27680423293498874  6:0.6658396279975084  7:0.11663202798656648  8:-0.35021162245233417  9:-0.5338110617075231  10:-0.36228704037591386
1  1:0.15599663763452035  2:0.22390387453133614  3:0.06873979552925712  4:-0.08176990776744626  5:-0.19734673162006422  6:0.3760182393335409  7:-0.027854506316967814  8:-0.053028575443786946  9:-0.11729308148774308  10:-0.21478377567003143
1  1:-0.04772968421052632  2:-0.1288701891891892  3:-0.2375563888888889  4:-0.2807084571428572  5:0.12489247058823531  6:-0.04426769367452162  7:-0.21551179074932916  8:-0.2537394573197458  9:0.06600542776368937  10:0.327022872452334
1  1:-0.13805442292120848  2:0.08110271549656163  3:-0.4530217687376725  4:0.008906224852071048  5:-0.18839324573616426  6:0.3242869894113983  7:-0.1629959884855269  8:-0.09534819592373438  9:-0.31788375147928993  10:-0.051683063696484545
1  1:0.059222395134779705  2:0.12104171322209786  3:0.08483995353933815  4:0.36202565813844284  5:0.20475052635649915  6:0.448710297864978  7:0.0947569763491302  8:0.024130112042515892  9:-0.16335303095707712  10:-0.2758586906640369
1  1:0.42993771211806653  2:0.3693735306430691  3:-0.10903529695375846  4:0.1009507124072509  5:0.006781066210310537  6:0.3761190339458112  7:-0.452888516552055  8:-0.6552206916502301  9:-0.3443759185122571  10:0.20846671910894535
1  1:0.27166257550434275  2:0.06772736853421471  3:0.10141960092044697  4:-0.12982617246172626  5:-0.07651476660092041  6:0.20803136219246343  7:0.10999797265312654  8:0.08323721959237347  9:-0.08140596551141166  10:-0.026846123042116265
