1  1:-0.1908852869822486  2:0.22344648536702386  3:0.14272383267587116  4:0.05034284598478443  5:0.12332616324399581  6:-0.0771207963062579  7:-0.09949557784763315  8:0.07932578293366552  9:-0.017644537342075793  10:0.15478787672583824  11:0.09896762214708368  12:-0.11147289401322658  13:-0.3784226046261432  14:0.12378633746301783
1  1:-0.013318730475102944  2:0.015450371359525188  3:-0.0071551692965154436  4:0.044517144134498  5:-0.08700229926132191  6:-0.09158264210148825  7:0.022460443951347813  8:-0.032624656493304253  9:0.013846291859907255  10:-0.007955078895463517  11:0.18269025224006757  12:-0.030719582666202574  13:0.01448117052178593  14:0.1135372303994083
1  1:0.05528918471227376  2:0.027858343372958755  3:-0.0013647968441814569  4:-0.03575526302244764  5:-0.005542136713462501  6:-0.11323543709282172  7:0.003978576286160418  8:-0.09592777506142082  9:0.10376765122518969  10:0.03173759193513039  11:0.006755045740584197  12:0.05585390180608733  13:-0.2501191560576176  14:0.04187366066732414
1  1:-0.04108032193155472  2:-0.2504786952218491  3:0.22520088225947843  4:-0.13221574095989483  5:-0.3708830893761844  6:0.2565541976570438  7:-0.13645765281886912  8:0.21178080632547847  9:-0.37793029317483157  10:-0.1361630670063555  11:0.05836078160984314  12:0.02717650367405348  13:-0.31327628683282527  14:0.11317421940746222
1  1:-0.009620380116959084  2:0.016675534534534523  3:0.05620055555555555  4:0.044904882539682535  5:-0.06657821241830064  6:-0.042351838383838346  7:-0.028851232638888905  8:0.09832639473684218  9:-0.11725867567567565  10:-0.07578233333333333  11:0.06983828571428571  12:0.05515261764705883  13:-0.09410712121212121  14:-0.22445296874999998
1  1:0.25671019088895797  2:-0.2629872884304423  3:0.05459875262984879  4:0.2618480231426693  5:0.35806493400239786  6:-0.24935324756440144  7:0.06714714846318212  8:0.24806049999999996  9:-0.21454964864864873  10:0.033498916666666684  11:-0.21716397142857136  12:-0.4048754705882353  13:-0.14166242424242417  14:-0.17900053125
1  1:0.002568888508252817  2:0.16157130529345914  3:0.07170689480604865  4:0.0776404762468301  5:0.21708276836059867  6:-0.012894835574681728  7:0.23787079678254439  8:0.03518549453268279  9:-0.08680285461200846  10:0.06801677328511944  11:0.1500724326664788  12:-0.06274066403681788  13:0.10641964132448746  14:0.13213611561061803
1  1:0.5250156638984048  2:0.46314102965687576  3:0.14013666644751263  4:0.06202649860054473  5:-0.028316993599412168  6:0.19940114559799174  7:0.18151274862343855  8:0.3291089409149106  9:-0.10868192801677418  10:-0.12904127542187152  11:0.0943326496290035  12:-0.15266611600340335  13:-0.13904760946745562  14:-0.03109382367685732
1  1:0.06363647150420428  2:-0.08205811466496085  3:-0.11429552186061796  4:0.01016476196111581  5:0.007706365645666548  6:0.05220514810830197  7:-0.018482736871301773  8:-0.07944474244783559  9:-0.14118796161842312  10:-0.14056781903353058  11:-0.0474646023668639  12:0.037957357814131565  13:0.1507524974000359  14:-0.1107029865014793
1  1:0.18496969012768608  2:0.10217854645770023  3:-0.30812209664694273  4:0.04873305207100593  5:-0.06061016829098504  6:0.1009210222341761  7:-0.04635724408284022  8:0.25478769701373755  9:0.07891506857153006  10:0.1732660006574622  11:-0.03260064256598109  12:-0.1386917746064896  13:-0.13752196593150445  14:0.2659182442472058
1  1:0.05747866581888646  2:-0.016237211720596327  3:-0.07585030824019286  4:0.06662367836949377  5:-0.13745110654755005  6:0.020973191500806877  7:-0.07806698380999344  8:0.03220257474307065  9:-0.02700263649448264  10:-0.07759231032215647  11:0.2360844740490279  12:-0.10172776331360947  13:-0.04360908965393581  14:-0.14048101812130181
1  1:-0.003112758953597014  2:-0.05956666496081882  3:-0.08167466403681789  4:-0.3597646982248521  5:-0.4323914855551689  6:0.007764539537385692  7:0.14005003254437873  8:0.07987494517111321  9:0.02723963789825331  10:-0.034033057527942195  11:-0.04124752602611067  12:-0.16936565405886223  13:-0.030817383479768076  14:-0.040020386053583185
