0  1:-0.0019592735561784237  2:0.3182540694244541  3:0.09364751764190225  4:-0.2771276444256599  5:0.005524634953784274  6:0.07666026969791345  7:-0.18100491795937954  8:-0.03063897287968444  9:-0.04668371665257819  10:0.04842545057431257
0  1:0.3093655119900342  2:0.197830012154166  3:-0.09607505177514793  4:-0.2467285721048183  5:-0.31486839679777234  6:0.4472896030831517  7:0.4901266815928356  8:-0.015613684253780402  9:-0.15475506441251063  10:-0.3247141388792204
0  1:0.4212179970760235  2:0.14674618318318325  3:-0.04572407407407409  4:-0.18905256507936505  5:-0.23957603594771235  6:0.4133299013114641  7:0.2248714701920855  8:0.2492959759478413  9:-0.07358775093453558  10:-0.38184155300305545
0  1:-0.24907317924495667  2:-0.2471583640208256  3:-0.22401767800788963  4:0.055103382004320446  5:0.2515716250338399  6:-0.11251454091837092  7:0.14568942530696377  8:-0.1411586915406531  9:0.0017755842021225515  10:-0.027923173608693976
0  1:-0.46751513590435667  2:0.17050105625744089  3:-0.17714680358316898  4:-0.05506706420587957  5:0.22218567944850526  6:-0.07357194063808441  7:-0.13309776233630077  8:-0.41371292811746657  9:0.03243663362449521  10:-0.020322594365162212
0  1:0.0956239689435621  2:-0.041177736002274465  3:0.13974623783694942  4:0.09188634864281023  5:-0.08452903403333722  6:-0.04050948738710692  7:-0.23099471005917166  8:0.19237536045364897  9:0.05204381081994926  10:-0.16048785938043858
0  1:-0.01430880449150491  2:-0.014875837500222129  3:-0.02258084171597631  4:0.03141531133652668  5:-0.06755768573307035  6:-0.12218819948787159  7:-0.10827579437425591  8:-0.021842348948060482  9:0.037994661125199544  10:0.0408971725451522
0  1:-0.07669612848195444  2:-0.09011862288323833  3:-0.04902710628972168  4:0.032040435427820056  5:-0.007181013613334887  6:-0.021970656302986252  7:0.10380578289532136  8:-0.11035328484549638  9:0.11946081057574912  10:-0.022792592914877983
0  1:0.06618615228900657  2:0.010203213017751457  3:0.1385106916502301  4:0.10348272290786137  5:-0.5972687032718413  6:0.392994317536939  7:-0.4220610476926631  8:-0.5137405129848784  9:-0.2872084480886635  10:0.10521503540627297
0  1:-0.17212179706910277  2:-0.09002745912184373  3:0.00028926156037695986  4:0.04119588129989668  5:0.054412431159840687  6:-0.3055361097788851  7:-0.19885907788261636  8:0.06539157971729126  9:0.2507185979712596  10:-0.11474178089105465
