1  1:-0.37637005386217953  2:0.2546600098355262  3:-0.2766436088344596  4:0.04698907145833334  5:-0.04564686651785715  6:0.020402666066176467  7:-0.3511259759615384  8:0.15102102302631576  9:-0.0517348429054054  10:-0.08669936805555555  11:-0.02959258035714285  12:0.052555047794117626  13:0.01631488455128207  14:0.09722931171052634  15:-0.13905245560810808  16:0.11008395666666665  17:0.10978141107142855  18:0.09751672602941176  19:-0.3428541719391026  20:0.01909082273026313  21:0.16349185562500002  22:-0.32986083187500015  23:0.3080060591964284  24:-0.11813026716911763  25:-0.1588393733333333  26:0.15495958631578946  27:-0.2582938291891892  28:0.08360309333333332  29:0.028844731428571396  30:0.18788286588235292  31:-0.4793204198076923  32:0.14779178697368414  33:0.06030811304054056  34:-0.15589970944444442  35:-0.06716731749999998  36:0.1434704872058824
1  1:-0.5261134892467948  2:0.29229463391447374  3:-0.29995907478040534  4:0.1994866347916667  5:-0.1850288908035714  6:0.18180292988970584  7:-0.45293092948717956  8:0.27860230263157887  9:-0.27182888513513515  10:0.18478333333333333  11:-0.1553351785714286  12:0.05685036764705881  13:0.25668605769230773  14:-0.17744684210526315  15:-0.2021294797297295  16:-0.07103423611111107  17:-0.0915025357142857  18:-0.12316714705882352  19:-0.6397898083493588  20:0.25584102430921063  21:-0.1964669885641892  22:0.04547535548611112  23:-0.1369419608035714  24:0.03238199033088233  25:-0.21319195142628203  26:0.12000113194078944  27:-0.205487023429054  28:0.006630009097222227  29:-0.07490439794642857  30:-0.03218301055147051  31:-0.4807907548717948  32:0.26222049789473684  33:-0.33344840324324326  34:0.13400182333333338  35:-0.10103992000000002  36:0.17899977529411762
1  1:-0.46161165955128186  2:-0.21929200249999992  3:0.46250382385135164  4:-0.2868594052777777  5:-0.15891874178571416  6:0.3603362975  7:-0.43767161698717955  8:-0.23512200328947366  9:0.4402755624999999  10:-0.17117707638888885  11:-0.296474651785714  12:0.46554240073529396  13:-0.020777775785256452  14:-0.18938903319078954  15:0.07790290832770272  16:0.01343889104166666  17:0.06762287491071428  18:-0.18307286937499997  19:-0.5071813117948716  20:-0.07356505052631582  21:0.35052845729729726  22:-0.23955358999999993  23:-0.21572112000000007  24:0.1862882658823529  25:-0.3446795416826923  26:-0.13346700792763153  27:0.18563742765202706  28:-0.22188308965277773  29:0.0989915506250001  30:0.011668113125000032  31:-0.4460970545032051  32:-0.06707156450657888  33:0.05431188913851352  34:0.03166448326388885  35:-0.025425517946428614  36:0.05214224033088238
1  1:-0.42990988083333337  2:0.16435406434210528  3:-0.2849735420945945  4:0.4658815566666667  5:-0.3146523546428572  6:0.1450241495588236  7:-0.2978516682692307  8:0.05129973355263157  9:-0.20780716722972983  10:0.3154058958333332  11:-0.11555622321428569  12:0.05905866544117648  13:0.11103249024038458  14:-0.09643219503289474  15:-0.012645668023648641  16:0.006591419513888905  17:-0.015671697232142862  18:-0.07026151569852941  19:-0.16957975826923075  20:-0.13814623934210524  21:-0.11601825858108103  22:0.22922177805555569  23:-0.004896044642857135  24:-0.06710464955882353  25:-0.03316309937499999  26:-0.10691799542763161  27:-0.07289604802364864  28:0.2531032742361111  29:-0.11611319866071426  30:-0.08553468099264705  31:-0.22707316809294872  32:-0.026678363453947335  33:0.03614622521959462  34:0.1326272077083332  35:-0.2223042108035714  36:0.0628646519485294
1  1:-0.38213421929487196  2:0.009668061710526357  3:-0.1475589947972973  4:0.2069093163888889  5:-0.14293736321428568  6:-0.15246508720588234  7:-0.3456615384615384  8:0.04374736842105267  9:-0.17194594594594595  10:0.11241944444444446  11:0.045762857142857195  12:-0.21624705882352938  13:-0.06681618051282052  14:0.06186918210526316  15:-0.09792943027027025  16:-0.09707665999999998  17:0.029828457142857142  18:-0.0844056482352941  19:-0.388050985400641  20:0.10599533062500002  21:-0.18402632951013514  22:-0.046180643680555564  23:0.11263237848214287  24:-0.15224378922794113  25:-0.2534867215544873  26:0.10495969654605267  27:-0.06981943369932431  28:-0.07037743229166667  29:0.014105644196428553  30:-0.07279983363970587  31:-0.49125019488782073  32:0.20005233680921056  33:-0.23554233991554052  34:0.06265065618055554  35:0.0824983949107143  36:-0.1415918699632353
1  1:-0.6052719737339743  2:0.17005412036184211  3:0.017485385084459494  4:-0.17152606118055552  5:0.19053312562500002  6:-0.12854908613970586  7:-0.5408574423076923  8:0.13106656578947368  9:0.05902727702702699  10:-0.14330377777777778  11:0.2178761071428571  12:-0.3097126911764706  13:-0.13485673820512822  14:-0.13153534947368425  15:-0.1830356640540541  16:0.19608910944444446  17:0.021571690000000008  18:0.03403268411764701  19:-0.6536017905288464  20:0.09241897865131578  21:-0.03655394978040539  22:-0.10099667979166665  23:0.16658054276785714  24:-0.666444481875  25:-0.36011323717948723  26:0.015820881578947385  27:-0.02618875  28:0.0864667222222222  29:0.27653474999999994  30:-0.21327688235294118  31:-0.5683517450160256  32:0.1930725503618421  33:-0.04074183761824326  34:-0.13687522840277777  35:0.3122958341964285  36:-0.43791491496323537
1  1:-0.40445323796474364  2:-0.026384772006578943  3:-0.02947598829391895  4:0.12858547854166671  5:0.021354871339285722  6:0.06178957253676472  7:-0.37809002564102523  8:-0.01072847368421053  9:-0.08538602702702701  10:0.04194544444444444  11:0.1011418571428571  12:0.12144394117647052  13:-0.25742026596153833  14:0.14290626723684213  15:-0.05634705722972968  16:0.10149220583333332  17:0.29036343821428573  18:-0.05005383191176467  19:-0.537452504423077  20:0.24836077776315774  21:-0.2972896802027028  22:0.2972087252777776  23:-0.15165513035714273  24:0.06227823426470591  25:-0.28542167322115386  26:0.13200167667763174  27:-0.11967207545608097  28:0.457474661875  29:0.13132871919642858  30:0.18071756297794134  31:-0.5739954980128206  32:0.29268952776315804  33:-0.2828971599324323  34:0.20446848916666685  35:-0.1070650832142857  36:0.13760545338235294
1  1:-0.17119395142628208  2:-0.13641223055921056  3:0.04167951711148649  4:-0.2630664311805556  5:0.18510484133928573  6:0.16439195121323527  7:-0.14809503205128202  8:-0.09861875  9:0.0053623310810810764  10:-0.2689  11:0.20036339285714286  12:0.1465599264705883  13:-0.3066102520673076  14:-0.22030195884868414  15:0.44671951170608104  16:-0.1835921020138888  17:-0.017459487232142877  18:-0.05025543187499999  19:-0.12051528091346156  20:-0.12159627398026315  21:-0.13964564572635138  22:-0.18058445409722226  23:0.46165868205357147  24:0.039021482095588256  25:-0.18453974519230765  26:-0.21726433223684205  27:0.13426554222972978  28:-0.2182645694444444  29:0.05921568392857148  30:0.31837898897058825  31:-0.16218598540064097  32:-0.13913769503289475  33:-0.04340951869932434  34:-0.18949347701388886  35:0.16171390491071433  36:0.23398517327205884
1  1:-0.3732120948878204  2:0.02642010391447371  3:-0.0797791804560811  4:0.08784985270833336  5:-0.11115998437499999  6:0.42497913812499993  7:-0.49924258974358965  8:0.1484465263157894  9:-0.2668749459459459  10:0.29333738888888883  11:-0.2367115714285715  12:0.4371254117647059  13:0.08127374165064102  14:-0.035441009243421064  15:0.038181333057432446  16:0.010332148541666641  17:-0.11383629580357141  18:0.08041859547794117  19:-0.11963966386217957  20:-0.08820156003289477  21:0.054319245354729706  22:-0.02771460590277782  23:-0.04223210223214285  24:0.021579820772058823  25:0.010133622419871782  26:-0.0022846368750000364  27:-0.12031293315878379  28:-0.11747864659722225  29:-0.12904472437500009  30:0.1672163410661765  31:-0.13471573237179482  32:0.007626930921052593  33:0.010296298986486487  34:-0.03869095138888888  35:-0.02621249464285713  36:0.13317493014705883
1  1:-0.22999208847756414  2:-0.1757211072697368  3:0.23700004521959456  4:-0.30449703131944444  5:-0.09932020937499998  6:0.3788190160661764  7:-0.27846230929487176  8:-0.2929377006578947  9:0.48925918412162145  10:-0.4132177152777777  11:-0.14362022321428572  12:0.5323908713235292  13:-0.06309219911858978  14:-0.04044183305921053  15:0.16955606630067566  16:0.1754988107638888  17:0.061019415624999976  18:-0.012850344669117648  19:-0.043843232708333325  20:-0.10593313424342106  21:0.17047917630067572  22:-0.1558162792361111  23:-0.18076930437500002  24:0.1185930498897059  25:-0.10416468903846159  26:-0.009816740657894757  27:0.14165147790540536  28:-0.10218243305555558  29:-0.06488687178571431  30:0.12663859455882354  31:-0.1902411155288461  32:-0.04815742398026315  33:0.19529178265202696  34:-0.14872959229166666  35:-0.011680312232142855  36:0.2592118313602942
